StudyID,MetricID,param,value,SnapshotDate,SnapshotDate
AA-AA-000-0000,qtl0004,LowCI,0.000105665605959966,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,UpCI,0.00149739932873481,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,Score,0.000105665605959966,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,LowCI,0,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,UpCI,0.4592581264399,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,Score,0,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,LowCI,3.82155860705171e-05,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,UpCI,0.00054155741983707,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,Score,3.82155860705171e-05,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,LowCI,0.00133162880417942,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,UpCI,0.260280654195214,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,Score,0.00133162880417942,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000188198473570347,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000636221356972621,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0004,Score,0.000188198473570347,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0006,LowCI,0.000632744932049419,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0006,UpCI,0.131585858482766,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0006,Score,0.000632744932049419,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0004,LowCI,0.00014602195242605,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000430309577894838,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0004,Score,0.00014602195242605,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0006,LowCI,0.00324593092896603,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0930315322207255,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0006,Score,0.00324593092896603,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0004,LowCI,0.00021358413174231,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000515991206889411,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0004,Score,0.00021358413174231,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0006,LowCI,0.00725245642830306,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0985761639885322,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0006,Score,0.00725245642830306,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000213819888294843,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0004,UpCI,0.000487741118053662,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0004,Score,0.000213819888294843,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0062299715383064,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0006,UpCI,0.08517605297428,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0006,Score,0.0062299715383064,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000194355543811586,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000416784291232641,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0004,Score,0.000194355543811586,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0006,LowCI,0.00478453632438639,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0659589749998664,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0006,Score,0.00478453632438639,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000207564453566298,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000406339145422124,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0004,Score,0.000207564453566298,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0006,LowCI,0.00979151854400054,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0684843673677633,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0006,Score,0.00979151854400054,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0004,LowCI,0.000257736977653611,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0004,UpCI,0.00046346409873669,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0004,Score,0.000257736977653611,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0190595989786866,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0843179875655525,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0006,Score,0.0190595989786866,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000272408049883458,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0004,UpCI,0.000473134788230507,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0004,Score,0.000272408049883458,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0246072740843579,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0006,UpCI,0.0913688329910477,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0006,Score,0.0246072740843579,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000280573131309223,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000467155244124018,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0004,Score,0.000280573131309223,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0277337707600657,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0909128957804014,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0006,Score,0.0277337707600657,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000274755243577239,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000448551434824388,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0004,Score,0.000274755243577239,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0006,LowCI,0.0335595678791628,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0959028645962832,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0006,Score,0.0335595678791628,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0004,LowCI,0.000278473088835569,2006-12-01,2006-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000445225096937571,2006-12-01,2006-12-01
AA-AA-000-0000,qtl0004,Score,0.000278473088835569,2006-12-01,2006-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0334949338064855,2006-12-01,2006-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0924359083539014,2006-12-01,2006-12-01
AA-AA-000-0000,qtl0006,Score,0.0334949338064855,2006-12-01,2006-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000280735824302758,2007-03-01,2007-03-01
AA-AA-000-0000,qtl0004,UpCI,0.00044325035766394,2007-03-01,2007-03-01
AA-AA-000-0000,qtl0004,Score,0.000280735824302758,2007-03-01,2007-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0401836274970258,2007-03-01,2007-03-01
AA-AA-000-0000,qtl0006,UpCI,0.10110875261791,2007-03-01,2007-03-01
AA-AA-000-0000,qtl0006,Score,0.0401836274970258,2007-03-01,2007-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000302389715124811,2007-06-01,2007-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000462230986591288,2007-06-01,2007-06-01
AA-AA-000-0000,qtl0004,Score,0.000302389715124811,2007-06-01,2007-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0370588422776686,2007-06-01,2007-06-01
AA-AA-000-0000,qtl0006,UpCI,0.093467590275278,2007-06-01,2007-06-01
AA-AA-000-0000,qtl0006,Score,0.0370588422776686,2007-06-01,2007-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000283224713455194,2007-09-01,2007-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000427938158442151,2007-09-01,2007-09-01
AA-AA-000-0000,qtl0004,Score,0.000283224713455194,2007-09-01,2007-09-01
AA-AA-000-0000,qtl0006,LowCI,0.0370926397872731,2007-09-01,2007-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0892529854381312,2007-09-01,2007-09-01
AA-AA-000-0000,qtl0006,Score,0.0370926397872731,2007-09-01,2007-09-01
AA-AA-000-0000,qtl0004,LowCI,0.00029401570390066,2007-12-01,2007-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000437728161887811,2007-12-01,2007-12-01
AA-AA-000-0000,qtl0004,Score,0.00029401570390066,2007-12-01,2007-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0398099435879483,2007-12-01,2007-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0918162565083142,2007-12-01,2007-12-01
AA-AA-000-0000,qtl0006,Score,0.0398099435879483,2007-12-01,2007-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000319069897942969,2008-03-01,2008-03-01
AA-AA-000-0000,qtl0004,UpCI,0.000466268448121591,2008-03-01,2008-03-01
AA-AA-000-0000,qtl0004,Score,0.000319069897942969,2008-03-01,2008-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0411006158572428,2008-03-01,2008-03-01
AA-AA-000-0000,qtl0006,UpCI,0.093000658875175,2008-03-01,2008-03-01
AA-AA-000-0000,qtl0006,Score,0.0411006158572428,2008-03-01,2008-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000330575093307096,2008-06-01,2008-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000473872131623225,2008-06-01,2008-06-01
AA-AA-000-0000,qtl0004,Score,0.000330575093307096,2008-06-01,2008-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0380492536653947,2008-06-01,2008-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0862630266846576,2008-06-01,2008-06-01
AA-AA-000-0000,qtl0006,Score,0.0380492536653947,2008-06-01,2008-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000336643700944488,2008-09-01,2008-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000475240948777442,2008-09-01,2008-09-01
AA-AA-000-0000,qtl0004,Score,0.000336643700944488,2008-09-01,2008-09-01
AA-AA-000-0000,qtl0006,LowCI,0.0371035158294284,2008-09-01,2008-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0827349326781089,2008-09-01,2008-09-01
AA-AA-000-0000,qtl0006,Score,0.0371035158294284,2008-09-01,2008-09-01
AA-AA-000-0000,qtl0004,LowCI,0.000350199311725525,2008-12-01,2008-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000487738975667357,2008-12-01,2008-12-01
AA-AA-000-0000,qtl0004,Score,0.000350199311725525,2008-12-01,2008-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0353212338168075,2008-12-01,2008-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0788471067531206,2008-12-01,2008-12-01
AA-AA-000-0000,qtl0006,Score,0.0353212338168075,2008-12-01,2008-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000364312719901026,2009-03-01,2009-03-01
AA-AA-000-0000,qtl0004,UpCI,0.000502367404048991,2009-03-01,2009-03-01
AA-AA-000-0000,qtl0004,Score,0.000364312719901026,2009-03-01,2009-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0361405468551382,2009-03-01,2009-03-01
AA-AA-000-0000,qtl0006,UpCI,0.0793410867079537,2009-03-01,2009-03-01
AA-AA-000-0000,qtl0006,Score,0.0361405468551382,2009-03-01,2009-03-01
AA-AA-000-0000,qtl0004,LowCI,0.00036253083349173,2009-06-01,2009-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000495856693829308,2009-06-01,2009-06-01
AA-AA-000-0000,qtl0004,Score,0.00036253083349173,2009-06-01,2009-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0341767796647868,2009-06-01,2009-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0751179911318423,2009-06-01,2009-06-01
AA-AA-000-0000,qtl0006,Score,0.0341767796647868,2009-06-01,2009-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000371610666365533,2009-09-01,2009-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000502646986517416,2009-09-01,2009-09-01
AA-AA-000-0000,qtl0004,Score,0.000371610666365533,2009-09-01,2009-09-01
AA-AA-000-0000,qtl0006,LowCI,0.032292166778335,2009-09-01,2009-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0710556539274166,2009-09-01,2009-09-01
AA-AA-000-0000,qtl0006,Score,0.032292166778335,2009-09-01,2009-09-01
AA-AA-000-0000,qtl0004,LowCI,0.000378510429066346,2009-12-01,2009-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000508510085668719,2009-12-01,2009-12-01
AA-AA-000-0000,qtl0004,Score,0.000378510429066346,2009-12-01,2009-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0343434679854775,2009-12-01,2009-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0732666401739512,2009-12-01,2009-12-01
AA-AA-000-0000,qtl0006,Score,0.0343434679854775,2009-12-01,2009-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000382646587014944,2010-03-01,2010-03-01
AA-AA-000-0000,qtl0004,UpCI,0.000511201221307587,2010-03-01,2010-03-01
AA-AA-000-0000,qtl0004,Score,0.000382646587014944,2010-03-01,2010-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0349524096264784,2010-03-01,2010-03-01
AA-AA-000-0000,qtl0006,UpCI,0.0735288517069084,2010-03-01,2010-03-01
AA-AA-000-0000,qtl0006,Score,0.0349524096264784,2010-03-01,2010-03-01
AA-AA-000-0000,qtl0004,LowCI,0.00037837548550621,2010-06-01,2010-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000502462437998566,2010-06-01,2010-06-01
AA-AA-000-0000,qtl0004,Score,0.00037837548550621,2010-06-01,2010-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0388102559465346,2010-06-01,2010-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0776560094255497,2010-06-01,2010-06-01
AA-AA-000-0000,qtl0006,Score,0.0388102559465346,2010-06-01,2010-06-01
AA-AA-000-0000,qtl0004,LowCI,0.00038080880823558,2010-09-01,2010-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000501147765825502,2010-09-01,2010-09-01
AA-AA-000-0000,qtl0004,Score,0.00038080880823558,2010-09-01,2010-09-01
AA-AA-000-0000,qtl0006,LowCI,0.036211549513671,2010-09-01,2010-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0725510821253848,2010-09-01,2010-09-01
AA-AA-000-0000,qtl0006,Score,0.036211549513671,2010-09-01,2010-09-01
AA-AA-000-0000,qtl0004,LowCI,0.000390036236445662,2010-12-01,2010-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000509707538312773,2010-12-01,2010-12-01
AA-AA-000-0000,qtl0004,Score,0.000390036236445662,2010-12-01,2010-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0376720005420785,2010-12-01,2010-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0738695476983879,2010-12-01,2010-12-01
AA-AA-000-0000,qtl0006,Score,0.0376720005420785,2010-12-01,2010-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000401687516014092,2011-03-01,2011-03-01
AA-AA-000-0000,qtl0004,UpCI,0.000521831532835028,2011-03-01,2011-03-01
AA-AA-000-0000,qtl0004,Score,0.000401687516014092,2011-03-01,2011-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0383162608247175,2011-03-01,2011-03-01
AA-AA-000-0000,qtl0006,UpCI,0.074382802492862,2011-03-01,2011-03-01
AA-AA-000-0000,qtl0006,Score,0.0383162608247175,2011-03-01,2011-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000410220489681548,2011-06-01,2011-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000529400075125475,2011-06-01,2011-06-01
AA-AA-000-0000,qtl0004,Score,0.000410220489681548,2011-06-01,2011-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0395524539256524,2011-06-01,2011-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0753509757184396,2011-06-01,2011-06-01
AA-AA-000-0000,qtl0006,Score,0.0395524539256524,2011-06-01,2011-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000404382505620917,2011-09-01,2011-09-01
AA-AA-000-0000,qtl0004,UpCI,0.000519706920244303,2011-09-01,2011-09-01
AA-AA-000-0000,qtl0004,Score,0.000404382505620917,2011-09-01,2011-09-01
AA-AA-000-0000,qtl0006,LowCI,0.0409413929808086,2011-09-01,2011-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0760435771815352,2011-09-01,2011-09-01
AA-AA-000-0000,qtl0006,Score,0.0409413929808086,2011-09-01,2011-09-01
AA-AA-000-0000,qtl0004,LowCI,0.000415229521796773,2011-12-01,2011-12-01
AA-AA-000-0000,qtl0004,UpCI,0.000529787124817123,2011-12-01,2011-12-01
