studyid,snapshot_date
AA-AA-000-0000,12/1/03
AA-AA-000-0000,3/1/04
AA-AA-000-0000,6/1/04
AA-AA-000-0000,9/1/04
AA-AA-000-0000,12/1/04
AA-AA-000-0000,3/1/05
AA-AA-000-0000,6/1/05
AA-AA-000-0000,9/1/05
AA-AA-000-0000,12/1/05
AA-AA-000-0000,3/1/06
AA-AA-000-0000,6/1/06
AA-AA-000-0000,9/1/06
AA-AA-000-0000,12/1/06
AA-AA-000-0000,3/1/07
AA-AA-000-0000,6/1/07
AA-AA-000-0000,9/1/07
AA-AA-000-0000,12/1/07
AA-AA-000-0000,3/1/08
AA-AA-000-0000,6/1/08
AA-AA-000-0000,9/1/08
AA-AA-000-0000,12/1/08
AA-AA-000-0000,3/1/09
AA-AA-000-0000,6/1/09
AA-AA-000-0000,9/1/09
AA-AA-000-0000,12/1/09
AA-AA-000-0000,3/1/10
AA-AA-000-0000,6/1/10
AA-AA-000-0000,9/1/10
AA-AA-000-0000,12/1/10
AA-AA-000-0000,3/1/11
AA-AA-000-0000,6/1/11
AA-AA-000-0000,9/1/11
AA-AA-000-0000,12/1/11
AA-AA-000-0000,3/1/12
AA-AA-000-0000,6/1/12
AA-AA-000-0000,9/1/12
AA-AA-000-0000,12/1/12
AA-AA-000-0000,3/1/13
AA-AA-000-0000,6/1/13
AA-AA-000-0000,9/1/13
AA-AA-000-0000,12/1/13
AA-AA-000-0000,3/1/14
AA-AA-000-0000,6/1/14
AA-AA-000-0000,9/1/14
AA-AA-000-0000,12/1/14
AA-AA-000-0000,3/1/15
AA-AA-000-0000,6/1/15
AA-AA-000-0000,9/1/15
AA-AA-000-0000,12/1/15
AA-AA-000-0000,3/1/16
AA-AA-000-0000,6/1/16
AA-AA-000-0000,9/1/16
AA-AA-000-0000,12/1/16
AA-AA-000-0000,3/1/17
AA-AA-000-0000,6/1/17
AA-AA-000-0000,9/1/17
AA-AA-000-0000,12/1/17
AA-AA-000-0000,3/1/18
AA-AA-000-0000,6/1/18
AA-AA-000-0000,9/1/18
AA-AA-000-0000,12/1/18
AA-AA-000-0000,3/1/19
AA-AA-000-0000,6/1/19
AA-AA-000-0000,9/1/19
AA-AA-000-0000,12/1/19
AA-AA-000-0000,3/1/20
AA-AA-000-0000,6/1/20
AA-AA-000-0000,9/1/20
AA-AA-000-0000,12/1/20
AA-AA-000-0000,3/1/21
AA-AA-000-0000,6/1/21
AA-AA-000-0000,9/1/21
AA-AA-000-0000,12/1/21
AA-AA-000-0000,3/1/22
AA-AA-000-0000,6/1/22